helper,function,date,set_no_internal,ref_no,cs_no,area,sales_area,hospital,doctor,brand,product,case_date,case_time,sending_date,due_time,courier,recipient,set_no,box_no,return_box,case_used,confirm_email,current_day,notice_return,status,status_date,remark
Sigma 2.7/3.5,,17-04-23,,REF_MASKED,,UPC,SALES_011,HOSP_485,DR_858,Sigma 2.7/3.5,Distal humerus (Elbow),19-04-23,09:00,17-04-23,,,,10,ฟ้ากลาง,√,ใช้,,3/18/2026,,Received,5/5/2023,
Stryker T8,,17-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_250,Stryker T8,Variax distal radius T8,18-04-23,09:00,17-04-23,,,,9,GM04,√,ใช้,,3/18/2026,,Received,4/19/2023,
Stryker T8,,17-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_250,Stryker T8,Variax distal radius T8,18-04-23,09:00,17-04-23,,,,27,GM04,√,ใช้,,3/18/2026,,Received,4/19/2023,
Stryker T8,,17-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_250,Stryker T8,Variax distal radius T8,18-04-23,09:00,17-04-23,,,,16,GM04,√,ใช้,,3/18/2026,,Received,4/19/2023,
Sigma Nail,,17-04-23,,REF_MASKED,,BKK,SALES_002,HOSP_065,DR_150,Sigma Nail,PFNA (Hyper) SL,17-04-23,10:30,17-04-23,,,,N16,BL01,√,ใช้,,3/18/2026,,Received,4/20/2023,"มี Long nail 9 x 340 LR
Long nail 9 x 380 LR"
Sigma Nail,,17-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_394,DR_241,Sigma Nail,Retrograde,19-04-23,08:00,18-04-23,,,,L16,BB00,√,คืนครบ,,3/18/2026,,Received,4/20/2023,มี Spiral blade
Sigma 5.0,,17-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_394,DR_241,Sigma 5.0,DF,19-04-23,08:00,18-04-23,,,,L16,BB00,√,คืนครบ,,3/18/2026,,Received,4/20/2023,มี Plate ยาว
Sigma 5.0,,18-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_257,DR_222,Sigma 5.0,B,17-04-23,20:00,17-04-23,,,,L1,GM05,√,ใช้,,3/18/2026,,Received,4/20/2023,มี Plate ยาว
Sigma Nail,,18-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_329,Sigma Nail,Retrograde,19-04-23,09:00,18-04-23,,,,-,-,√,คืนครบ,,3/18/2026,,Received,4/21/2023,มี Spiral blade
Sigma 3.5,,18-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_083,Sigma 3.5,Sigma 3.5 Instument + Screw,20-04-23,09:00,18-04-23,,,,S70,-,-,ใช้,,3/18/2026,,Received,4/22/2023,มี Screw เต็ม tray
Auxein ET,,18-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_429,DR_575,Auxein ET,Expert tibia,19-04-23,15:30,18-04-23,,,,-,4/น,√,ใช้,,3/18/2026,,Received,4/21/2023,
Auxein EF,,18-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_335,DR_579,Auxein EF,Expert nail femur LR,19-04-23,09:00,18-04-23,,,,15,BB19,√,ใช้,,3/18/2026,,Received,4/21/2023,"มี Recon screw 6.5
Screw 4.9 PFNA"
Auxein ET,,18-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_083,Auxein ET,Expert tibia,19-04-23,18:30,18-04-23,,,,15,-,√,ใช้,,3/18/2026,,Received,4/21/2023,"มี Long nail 9 x 345 LR
Long nail 9 x 360 LR
Long nail 10 x 360 LR
Long nail 11 x 270 LR
Long nail 11 x 360 LR
Long nail 12 x 270 LR
Long nail 12 x 285 LR"
Stryker T8,,18-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_250,Stryker T8,Variax distal radius T8,20-04-23,10:00,19-04-23,,,,11,BS29,√,ใช้,,3/18/2026,,Received,4/21/2023,
Sigma 5.0,,18-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma 5.0,Proximal lateral tibia (Large 5.0) LR,26-04-23,11:30,18-04-23,,,,L6,BM10,√,คืนครบ,,3/18/2026,,Received,4/28/2023,จากเดิมกำหนดผ่าวันที่ 19/4/23 ผท.แจ้งเลื่อน
Sigma 3.5,,18-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma 3.5,PMT+PLT,19-04-23,11:30,18-04-23,,,,S10,BM10,√,ใช้,,3/18/2026,,Received,4/21/2023,
Sigma 3.5,,18-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma 3.5,Proximal humerus (Small 3.5),26-04-23,15:00,18-04-23,,,,S24,BM10,√,ใช้,,3/18/2026,,Received,4/28/2023,"มี Plate ยาว , Screw เต็ม tray
จากเดิมกำหนดผ่าวันที่ 19/4/23 ผท.แจ้งเลื่อน"
Sigma 2.7/3.5,,18-04-23,,REF_MASKED,,UPC,SALES_016,HOSP_136,DR_685,Sigma 2.7/3.5,Distal humerus (Elbow),21-04-23,09:00,18-04-23,,,,-,BS01,√,ใช้,,3/18/2026,,Received,5/5/2023,
Sigma 5.0,,18-04-23,,REF_MASKED,,UPC,SALES_012,HOSP_176,DR_625,Sigma 5.0,Distal femur (Large 5.0) LR,19-04-23,13:00,18-04-23,,,,L40,BM08,√,คืนครบ,,3/18/2026,,Received,4/28/2023,
Sigma Nail,,18-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_394,DR_193,Sigma Nail,PFNA SL,25-04-23,12:00,18-04-23,,,,N16,BL09,√,ใช้,,3/18/2026,,Received,4/27/2023,"มี Long nail 9 x 340 LR
Long nail 9 x 380 LR"
Stryker T8,,18-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_309,DR_131,Stryker T8,Variax distal radius T8,20-04-23,14:00,19-04-23,,,,38,BM11,√,ใช้,,3/18/2026,,Received,4/21/2023,
Sigma 3.5,,18-04-23,,REF_MASKED,,UPC,SALES_012,HOSP_490,DR_500,Sigma 3.5,Fibular plate (Small 3.5) (เอาเฉพาะ Plate),19-04-23,13:00,18-04-23,,,,-,-,-,ใช้,,3/18/2026,,Received,4/28/2023,
Stryker T10,,18-04-23,,REF_MASKED,,UPC,SALES_032,HOSP_361,DR_755,Stryker T10,"Calcaneus T10
Fibular T10",21-04-23,-,18-04-23,,,,-,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,6/23/2023,
Sigma 3.5,,19-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_302,DR_083,Sigma 3.5,Recon plate (Small 3.5),19-04-23,10:30,19-04-23,,,,S26-1,-,√,คืนครบ,,3/18/2026,,Received,4/21/2023,
Auxein EF,,19-04-23,,REF_MASKED,,BKK,SALES_007,HOSP_145,DR_748,Auxein EF,Expert nail femur LR,20-04-23,14:00,19-04-23,,,,12,BB18,√,ใช้,,3/18/2026,,Received,4/24/2023,
Stryker T8,,19-04-23,,REF_MASKED,,UPC,SALES_018,HOSP_074,DR_193,Stryker T8,Distal radius T8,24-04-23,-,19-04-23,,,,10,ฟ้ากลาง,√,ใช้,,3/18/2026,,Received,4/26/2023,จากเดิมกำหนดผ่าวันที่ 21/4/23 ผท.แจ้งเลื่อน
Stryker T8,,19-04-23,,REF_MASKED,,UPC,SALES_025,HOSP_061,DR_552,Stryker T8,Variax distal radius T8,30-04-23,-,19-04-23,,,,16,GM04,√,ใช้,,3/18/2026,,Received,5/5/2023,จากเดิมกำหนดผ่าวันที่ 24/4/23 ผท.แจ้งเลื่อน
Stryker T8T10,,19-04-23,,REF_MASKED,,UPC,SALES_015,HOSP_471,DR_799,Stryker T8T10,Foot and ankle (F&A T8+T10),24-04-23,-,19-04-23,,,,-,BM18,√,คืนครบ,,3/18/2026,,Received,4/28/2023,
Sigma Nail,,19-04-23,,REF_MASKED,,BKK,SALES_003,HOSP_080,DR_337,Sigma Nail,PFNA (Hyper) SL,21-04-23,12:00,19-04-23,,,,N8,GL04,BL06,ใช้,,3/18/2026,,Received,4/25/2023,
Stryker T8,,19-04-23,,REF_MASKED,,UPC,SALES_012,HOSP_490,DR_500,Stryker T8,Variax distal radius T8,28-04-23,-,19-04-23,,,,27,เขียวเล็ก,√,ใช้,,3/18/2026,,Received,4/28/2023,จากเดิมกำหนดผ่าวันที่ 27/4/23 ผท.แจ้งเลื่อน
Sigma 3.5,,19-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_608,Sigma 3.5,"Distal medial tibia (Small 3.5),
Distal anterolateral tibia (Small 3.5)",20-04-23,13:00,19-04-23,,,,S71,BM31,√,ใช้,,3/18/2026,,Received,4/24/2023,"มี เครื่องมือ 1 ชุด , Plate ยาว"
Auxein EF,,19-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Auxein EF,Expert nail femur LR,21-04-23,13:00,20-04-23,,,,8,BB10,√,ใช้,,3/18/2026,,Received,4/25/2023,"มี Long nail 10,11,12 x 420 LR
Long nail 13 x 380,400,420,440 LR
Screw size 4.9 ละ 3 ตัว"
Sigma 5.0,,19-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma 5.0,Broad (Large 5.0),21-04-23,13:00,20-04-23,,,,L55,BM05,√,คืนครบ,,3/18/2026,,Received,4/25/2023,
Stryker T8,,20-04-23,,REF_MASKED,,UPC,SALES_031,HOSP_358,DR_077,Stryker T8,Variax distal radius T8,21-04-23,09:00,20-04-23,,,,9,ฟ้ากลาง,√,คืนครบ,,3/18/2026,,Received,4/28/2023,
Auxein ET,,20-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_309,DR_303,Auxein ET,Expert tibia,23-04-23,09:00,20-04-23,,,,1,BB05,√,ใช้,,3/18/2026,,Received,4/25/2023,"เลื่อนเคสจากเวลา 09:00น. Book รับกลับวันที่ 24
จากเดิมเคสเสร็จวันที่ 21/4/2023"
Off Nail,,20-04-23,,,,UPC,SALES_018,HOSP_182,DR_213,Off Nail,Off plate expert nail femur,26-04-23,10:00,20-04-23,,,,-,-,-,-,,3/18/2026,,Received,5/5/2023,
Auxein Fix,,20-04-23,,,,BKK,SALES_005,HOSP_296,-,Auxein Fix,Radial head and neck (Fix)(2.4) LR,26-04-23,-,21-04-23,,,,6,-,√,คืนครบ,,3/18/2026,,Received,4/28/2023,"มี Radial column
Ulnar column
Extra long (XXL)"
Sigma 5.0,,20-04-23,,,,BKK,SALES_005,HOSP_296,-,Sigma 5.0,Sigma 5.0 Instrument,26-04-23,-,21-04-23,,,,L3,BM10,√,คืนครบ,,3/18/2026,,Received,4/28/2023,
Sigma Nail,,20-04-23,,,,BKK,SALES_005,HOSP_296,-,Sigma Nail,PFNA (Hyper) SL,26-04-23,-,21-04-23,,,,N16,BM10,√,คืนครบ,,3/18/2026,,Received,4/28/2023,"มี Lag TFN
Nail SM2666-380
Nail SM2658-180
Nail SM2659-240"
Sigma 2.7/3.5,,20-04-23,,,,BKK,SALES_005,HOSP_296,-,Sigma 2.7/3.5,Distal humerus (Elbow),26-04-23,-,21-04-23,,,,7,-,√,คืนครบ,,3/18/2026,,Received,4/28/2023,"มี Plate
SM2172-05
SM2231-08
SM2233-07"
Sigma 3.5,,21-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_568,Sigma 3.5,"Proximal medial tibia (Small 3.5) LR,
Proximal lacteral tibia (Small 3.5) LR",25-04-23,09:00,21-04-23,,,,S31,-,-,ใช้,,3/18/2026,,Received,4/27/2023,"มี เครื่องมือ 1 ชุด , Plate ยาว"
Sigma 5.0,,21-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_074,Sigma 5.0,Narrow (Large 5.0),23-04-23,16:00,23-04-23,,,,L16,BM11,√,คืนครบ,,3/18/2026,,Received,4/25/2023,
Sigma 3.5,,21-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_074,Sigma 3.5,"Proximal humerus (Small 3.5),
Small plate (Small 3.5)",23-04-23,16:00,23-04-23,,,,S16,BM11,√,คืนครบ,,3/18/2026,,Received,4/25/2023,มี เครื่องมือ 1 ชุด
Sigma 3.5,,21-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_421,Sigma 3.5,"Proximal medial tibia (Small 3.5) LR,
Proximal lateral tibia (Small 3.5) LR",24-04-23,07:00,21-04-23,,,,68,BS19,√,ใช้,,3/18/2026,,Received,4/25/2023,มี เครื่องมือ 1 ชุด
Sigma 2.7/3.5,,21-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_074,Sigma 2.7/3.5,Distal humerus (Elbow),23-04-23,15:00,21-04-23,,,,13,BS26,√,ใช้,,3/18/2026,,Received,4/25/2023,
Sigma 3.5,,24-04-23,,REF_MASKED,,UPC,SALES_015,HOSP_028,DR_2065,Sigma 3.5,Eight plate (Small 3.5),29-04-23,13:00,24-04-23,,,,S40,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,5/8/2023,
Sigma 5.0,,24-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_241,Sigma 5.0,"Distal femur (Large 5.0) LR,
Proximal lateral tibia (Large 5.0) LR",24-04-23,13:00,24-04-23,,,,L54,-,-,ใช้,,3/18/2026,,Received,4/25/2023,"มี เครื่องมือ 1 ชุด , Plate ยาว , Screw เต็ม Tray"
Sigma 5.0,,24-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_302,DR_083,Sigma 5.0,Proxmal lateral tibia (Large 5.0),24-04-23,13:00,24-04-23,,,,-,-,-,ใช้,,3/18/2026,,Received,4/25/2023,"มี Plate ยาว , ถุงผ้า"
Sigma Nail,,24-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_608,Sigma Nail,PFNA (Hyper) S,26-04-23,13:00,23-04-23,,,,38,BL22,√,ใช้,,3/18/2026,,Received,5/2/2023,
Sigma 2.7/3.5,,24-04-23,,REF_MASKED,,BKK,SALES_007,HOSP_195,DR_656,Sigma 2.7/3.5,Distal humerus (Elbow),25-04-23,18:00,24-04-23,,,,12,น้ำเงินใหญ่,√,ใช้,,3/18/2026,,Received,4/26/2023,
Sigma 3.5,,24-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_086,DR_103,Sigma 3.5,Proximal humerus (Small 3.5),24-04-23,20:00,24-04-23,,,,S58,น้ำเงินกลาง,√,ใช้,,3/18/2026,,Received,4/28/2023,มี Plate ยาว
Sigma Nail,,24-04-23,,REF_MASKED,,BKK,SALES_007,HOSP_195,DR_656,Sigma Nail,PFNA (Hyper) SL,25-04-23,17:00,24-04-23,,,,23,BL03,√,ใช้,,3/18/2026,,Received,4/27/2023,
Sigma 2.7/3.5,,24-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_555,Sigma 2.7/3.5,Cavical plate,25-04-23,08:30,24-04-23,,,,5--1,เขียวกลาง,√,ใช้,,3/18/2026,,Received,4/26/2023,
Stryker T8,,24-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_852,Stryker T8,Variax distal radius T8,25-04-23,-,25-04-23,,,,38,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/26/2023,
Sigma Nail,,24-04-23,,REF_MASKED,,UPC,SALES_023,HOSP_177,DR_105,Sigma Nail,PFNA (Hyper) S,25-04-23,11:00,24-04-23,,,,N7,GL05,√,ใช้,,3/18/2026,,Received,5/2/2023,
Stryker T8,,24-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_309,DR_131,Stryker T8,Variax distal radius T8,28-04-23,09:30,25-04-23,,,,11,เขียวเล็ก,√,ใช้,,3/18/2026,,Received,5/3/2023,
Off Nail,,24-04-23,,,,UPC,SALES_024,HOSP_203,-,Off Nail,Off plate expert nail femur,02-05-23,-,24-04-23,,,,-,-,-,-,,3/18/2026,,Received,5/5/2023,
Sigma 3.5,,24-04-23,,,,BKK,SALES_005,HOSP_296,DR_241,Sigma 3.5,"Proximal humerus (Small 3.5),
Recon plate (Small 3.5)",24-04-23,13:00,24-04-23,,,,S13,-,-,ใช้,,3/18/2026,,Received,5/3/2023,
Stryker T8,,25-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_205,DR_355,Stryker T8,Variax distal radius T8,27-04-23,14:30,26-04-23,,,,31,BM01,√,ใช้,,3/18/2026,,Received,4/28/2023,
Off Plate,,25-04-23,,,,BKK,SALES_006,HOSP_205,DR_355,Off Plate,Off plate sigma 3.5 (Elbow),26-04-23,,25-04-23,,,,-,-,-,-,,3/18/2026,,Received,4/28/2023,
Off Plate,,25-04-23,,,,BKK,SALES_006,HOSP_205,DR_355,Off Plate,Off plate Stryker foot and ankle T8&T10,26-04-23,,25-04-23,,,,-,-,-,-,,3/18/2026,,Received,4/28/2023,
Sigma 7.3,,26-04-23,,REF_MASKED,,UPC,SALES_013,HOSP_282,DR_193,Sigma 7.3,"Distal femur (Large 5.0),
Proximal femur (Large cannulated 7.3) LR",26-04-23,,25-04-23,,,,24,GM00,√,ใช้,,3/18/2026,,Received,5/2/2023,
Sigma Nail,,26-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma Nail,PFNA (Hyper) SL,26-04-23,09:00,25-04-23,,,,-,BL06,√,ใช้,,3/18/2026,,Received,4/28/2023,"มี Kwire 500 3 ชิ้น
+ Nail 9 x 340 , 9 x 380
+ Screw อย่างละ 1 ชิ้น"
Sigma 3.5,,26-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma 3.5,Proximal humerus (Small 3.5),26-04-23,11:00,25-04-23,,,,S71,BS19,√,ใช้,,3/18/2026,,Received,4/28/2023,
Sigma 2.7/3.5,,26-04-23,,REF_MASKED,,UPC,SALES_025,HOSP_483,DR_591,Sigma 2.7/3.5,Distal humerus (Elbow),27-04-23,10:00,26-04-23,,,,13,BM05,√,ใช้,,3/18/2026,,Received,5/2/2023,
Sigma 3.5,,26-04-23,,REF_MASKED,,UPC,SALES_025,HOSP_483,DR_591,Sigma 3.5,Small (Small 3.5),27-04-23,10:00,26-04-23,,,,S70,BM05,√,คืนครบ,,3/18/2026,,Received,5/2/2023,
Stryker T8,,26-04-23,,REF_MASKED,,BKK,SALES_007,HOSP_369,DR_770,Stryker T8,Variax distal radius T8,26-04-23,14:00,26-04-23,,,,37,BS26,√,ใช้,,3/18/2026,,Received,4/27/2023,
Sigma 2.7/3.5,,26-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_074,Sigma 2.7/3.5,Cavical plate,26-04-23,16:00,26-04-23,,,,5--1,เขียวกลาง,√,ใช้,,3/18/2026,,Received,4/28/2023,
Auxein EF,,26-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_079,-,Auxein EF,Expert nail femur LR,26-04-23,-,26-04-23,,,,4,BB05,√,คืนครบ,,3/18/2026,,Received,5/3/2023,
Auxein EF,,26-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_079,-,Auxein EF,Expert nail femur LR,26-04-23,-,26-04-23,,,,1,BB18,√,คืนครบ,,3/18/2026,,Received,5/3/2023,
Sigma 5.0,,26-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_125,DR_418,Sigma 5.0,"Broad (Large 5.0),
Narrow (Large 5.0)",26-04-23,16:00,26-04-23,,,,L16,BM11,√,ใช้,,3/18/2026,,Received,4/28/2023,
Sigma 3.5,,26-04-23,,REF_MASKED,,BKK,SALES_007,HOSP_012,DR_115,Sigma 3.5,"Distal medial tibia (Small 3.5) LR,
Distal anterolateral tibia (Small 3.5) LR",27-04-23,13:00,26-04-23,,,,S67,-,-,ใช้,,3/18/2026,,Received,5/2/2023,มี เครื่องมือ 1 ชุด
Auxein EF,,26-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_115,DR_835,Auxein EF,Expert nail femur LR,27-04-23,09:00,26-04-23,,,,12,BB10,√,ใช้,,3/18/2026,,Received,5/3/2023,
Sigma Nail,,26-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma Nail,Retrograde,27-04-23,09:00,26-04-23,,,,-,GL03,√,ใช้,,3/18/2026,,Received,4/28/2023,"มี Kwire 500 3 ชิ้น
+ Drill 4.0 สั้น 1 ชิ้น"
Sigma 3.5,,27-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_071,DR_390,Sigma 3.5,"Proximal medial tibia (Small 3.5) LR,
Proximal lacteral tibia (Small 3.5) LR",04-05-23,-,26-04-23,,,,S17,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,5/10/2023,จากเดิมกำหนดผ่าวันที่ 28/4/23 ผท.แจ้งเลื่อน
Sigma Nail,,27-04-23,,REF_MASKED,,UPC,SALES_018,HOSP_137,DR_409,Sigma Nail,PFNA (Hyper) SL,27-04-23,09:00,26-04-23,,,,N8,BL13,√,ใช้,,3/18/2026,,Received,6/14/2023,"มี Nail 9 x 340 LR , 9 x 380 LR"
Sigma Nail,,27-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_235,Sigma Nail,PFNA (Hyper) S,27-04-23,13:00,26-04-23,,,,N9,BL25,√,ใช้,,3/18/2026,,Received,5/2/2023,
Stryker T8,,27-04-23,,REF_MASKED,,BKK,SALES_002,HOSP_065,DR_396,Stryker T8,Variax distal radius T8,27-04-23,11:00,26-04-23,,,,36,17/ข,√,ใช้,,3/18/2026,,Received,4/30/2023,
Sigma 3.5,,27-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_714,Sigma 3.5,"Distal medial tibia (Small 3.5) LR,
Distal anterolateral tibia (Small 3.5) LR",26-04-23,16:00,26-04-23,,,,S10,BM31,√,คืนครบ,,3/18/2026,,Received,4/28/2023,มี เครื่องมือ 1 ชุด
Stryker T8,,27-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_852,Stryker T8,Variax distal radius T8,28-04-23,-,27-04-23,,,,10,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/29/2023,
Stryker T8,,27-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_309,DR_131,Stryker T8,Variax distal radius T8,28-04-23,12:00,27-04-23,,,,38,BM23,√,ใช้,,3/18/2026,,Received,5/3/2023,
Sigma 5.0,,27-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_296,Sigma 5.0,Tomofix (Large 5.0),28-04-23,13:00,27-04-23,,,,L33,GM05,√,ใช้,,3/18/2026,,Received,5/3/2023,
Sigma 5.0,,27-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_505,Sigma 5.0,Narrow (Large 5.0),28-04-23,08:30,27-04-23,,,,L7,GM05,√,ใช้,,3/18/2026,,Received,5/3/2023,
Stryker T8,,28-04-23,,REF_MASKED,,UPC,SALES_018,HOSP_074,DR_674,Stryker T8,Distal radius T8,27-04-23,17:00,27-04-23,,,,37,BS26,√,ใช้,,3/18/2026,,Received,5/10/2023,ดึง Screw คืนผู้แทน
Sigma 5.0,,28-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_241,Sigma 5.0,"Distal femur (Large 5.0) LR
Proximal lateral tibia (Large 5.0) LR",28-04-23,09:00,27-04-23,,,,L55,-,-,ใช้,,3/18/2026,,Received,5/5/2023,
Stryker T8,,28-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_852,Stryker T8,Radial + Ulnar column (เอาเฉพาะ Plate),28-04-23,-,27-04-23,,,,-,-,-,ใช้,,3/18/2026,,Received,4/29/2023,
Auxein EF,,28-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_245,DR_470,Auxein EF,Expert nail femur LR,28-04-23,15:30,28-04-23,,,,15,BB15,√,ใช้,,3/18/2026,,Received,5/2/2023,"มี Nail 10,11,12 x 420
Nail 13 x 380,400,420,440"
Stryker T8,,28-04-23,,REF_MASKED,,BKK,SALES_007,HOSP_450,DR_378,Stryker T8,Variax distal radius T8,29-04-23,12:00,28-04-23,,,,39,BM11,√,ใช้,,3/18/2026,,Received,5/2/2023,
Sigma Nail,,28-04-23,,REF_MASKED,,BKK,SALES_002,HOSP_065,DR_150,Sigma Nail,Retrograde,28-04-23,10:00,27-04-23,,,,-,BM34,√,ใช้,,3/18/2026,,Received,5/2/2023,มี Spiral blade
Sigma 3.5,,28-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_071,DR_381,Sigma 3.5,Distal medial tibia (Small 3.5) LR,01-05-23,-,28-04-23,,,,68,BM18,√,ใช้,,3/18/2026,,Received,5/5/2023,
Auxein VA,,28-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_368,DR_669,Auxein VA,Distal radius VA,01-05-23,09:00,28-04-23,,,,9,-,-,ใช้,,3/18/2026,,Received,5/9/2023,
Sigma 2.7/3.5,,28-04-23,,REF_MASKED,,UPC,SALES_016,HOSP_136,DR_685,Sigma 2.7/3.5,Distal humerus (Elbow),05-05-23,17:00,27-04-23,,,,12,BS19,√,ใช้,,3/18/2026,,Received,5/11/2023,
Sigma 5.0,,28-04-23,,,,BKK,SALES_002,HOSP_065,DR_150,Sigma 5.0,Distal femur (Large 5.0),28-04-23,10:00,28-04-23,,,,L1,-,-,คืนครบ,,3/18/2026,,Received,5/17/2023,ผู้แทนรับกลับมาที่ สนญ. เอง 8/5/2023
Sigma 3.5,,29-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_241,Sigma 3.5,"Proximal medial tibia (Small 3.5) LR,
Proximal lacteral tibia (Small 3.5) LR",01-05-23,09:00,28-04-23,,,,S15,-,-,ใช้,,3/18/2026,,Received,5/11/2023,ผู้แทนโยกไปที่ รพ. ธนบุรี 1
Stryker T8,,29-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_852,Stryker T8,Variax distal radius T8,02-05-23,-,29-04-23,,,,9,-,-,ใช้,,3/18/2026,,Received,5/3/2023,
Sigma 3.5,,29-04-23,,REF_MASKED,,BKK,SALES_003,HOSP_155,DR_474,Sigma 3.5,Proximal humerus (Small 3.5),29-04-23,16:00,29-04-23,,,,S16,น้ำเงินกลาง,√,ใช้,,3/18/2026,,Received,5/5/2023,
Sigma 2.7/3.5,,29-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_455,DR_853,Sigma 2.7/3.5,Cavical plate,05-05-23,20:00,29-04-23,,,,5--1,BM10,√,ใช้,,3/18/2026,,Received,5/9/2023,จากเดิมกำหนดผ่าวันที่ 29/4/23 ผท.แจ้งเลื่อน
Sigma 7.3,,29-04-23,,REF_MASKED,,UPC,SALES_026,HOSP_365,DR_341,Sigma 7.3,Proximal femur (Large cannulated 7.3),02-05-23,-,28-04-23,,,,9,6/น,√,ใช้,,3/18/2026,,Received,5/29/2023,มี Plate ยาว
Off Nail,,29-04-23,,,,UPC,SALES_011,HOSP_344,-,Off Nail,Off plate PFNA,01-05-23,-,29-04-23,,,,-,-,-,-,,3/18/2026,,Received,5/29/2023,
Off Nail,,29-04-23,,,,UPC,SALES_015,HOSP_471,DR_260,Off Nail,Off plate PFNA,08-05-23,-,27-04-23,,,,-,-,-,-,,3/18/2026,,Received,5/15/2023,
Sigma 3.5,,29-04-23,,,,UPC,SALES_013,HOSP_458,-,Sigma 3.5,Sigma 3.5 Instument + Screw,28-04-23,-,28-04-23,,,,S26-1,เขียวเล็ก,-,-,,3/18/2026,,Received,17/1/24,ขอทำวาง รอทำเป็น ยย.
Sigma 2.7/3.5,,02-05-23,,REF_MASKED,,BKK,SALES_005,HOSP_086,DR_383,Sigma 2.7/3.5,Distal humerus (Elbow),30-04-23,20:00,30-04-23,,,,7,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,5/1/2023,
